"Study","Dataset","Reviewer","Order","Family","Species","BirdLife_Species","BirdTree_Species","IUCN_Species","IUCN_Status","Hunting","RR","bin","Hdens","Udens","Traded","Body_Mass","HWI","Kipps_Dist","Lifestyle","Trophic_Level","Activity","PCA_Dim1","PCA_Dim2","Evo_Distinctiveness","Tax_Distinctiveness","Realm","Country","Longitude","Latitude","Dist_Hunters","TravDist","PopDens","Stunting","FoodBiomass","Reserve","CountryNum"
"514",15,"AB","Galliformes","Cracidae","Pipile cujubi","Pipile cujubi","Pipile cujubi","Pipile cujubi","VU","S",0.185714285714286,1,0.52,2.8,"Yes",1195.8,15.6,53.7,"Insessorial","Herbivore","Diurnal",1.86681081990262,-0.527257592241766,2.52704890306996,0.000229573137187186,"Neotropic","Brazil",-51.873,-7.687,2.75,1816,32.518,14.7,3823.535148,1,76
"514",15,"AB","Gruiformes","Psophiidae","Psophia viridis","Psophia viridis","Psophia viridis","Psophia viridis","VU","S",0.356495468277946,1,11.8,33.1,"Yes",1071,3.3,9.3,"Terrestrial","Herbivore","Diurnal",1.47376695623104,0.987642586960537,19.5265446178734,0.000194254193004542,"Neotropic","Brazil",-51.873,-7.687,2.75,1816,32.518,14.7,3823.535148,1,76
"546",55,"AB","Galliformes","Cracidae","Crax alector","Crax alector","Crax alector","Crax alector","LC","SC",0.149606299212598,1,0.19,1.27,"Yes",2872,5.3,20.3,"Terrestrial","Herbivore","Diurnal",2.16398769044873,-0.348616794029651,2.20815634841115,0.000180378893504217,"Neotropic","French Guiana",-52.831,3.858,22.17,2745,0.071,14.7,9.13706,0,254
"546",55,"AB","Galliformes","Cracidae","Crax alector","Crax alector","Crax alector","Crax alector","LC","SC",0.488188976377953,1,0.62,1.27,"Yes",2872,5.3,20.3,"Terrestrial","Herbivore","Diurnal",2.16398769044873,-0.348616794029651,2.20815634841115,0.000180378893504217,"Neotropic","French Guiana",-52.831,3.858,41.125,2745,0.071,14.7,9.13706,0,254
"546",55,"AB","Struthioniformes","Tinamidae","Crypturellus variegatus","Crypturellus variegatus","Crypturellus variegatus","Crypturellus variegatus","LC","SC",0.590909090909091,1,0.91,1.54,"Yes",378,32.2,50.1,"Terrestrial","Herbivore","Diurnal",2.04446430849094,-0.242587087777608,26.921333060694,0.00031566306363238,"Neotropic","French Guiana",-52.831,3.858,22.17,2745,0.071,14.7,9.13706,0,254
"546",55,"AB","Struthioniformes","Tinamidae","Crypturellus variegatus","Crypturellus variegatus","Crypturellus variegatus","Crypturellus variegatus","LC","SC",0.824675324675325,1,1.27,1.54,"Yes",378,32.2,50.1,"Terrestrial","Herbivore","Diurnal",2.04446430849094,-0.242587087777608,26.921333060694,0.00031566306363238,"Neotropic","French Guiana",-52.831,3.858,41.125,2745,0.071,14.7,9.13706,0,254
"546",55,"AB","Galliformes","Odontophoridae","Odontophorus gujanensis","Odontophorus gujanensis","Odontophorus gujanensis","Odontophorus gujanensis","LC","SC",0.269662921348315,1,0.24,0.89,"Yes",314.1,13.3,18.8,"Terrestrial","Herbivore","Diurnal",0.368331603905103,-0.532380279742175,6.23068034395233,0.000132910763634686,"Neotropic","French Guiana",-52.831,3.858,22.17,2745,0.071,14.7,9.13706,0,254
"546",55,"AB","Galliformes","Odontophoridae","Odontophorus gujanensis","Odontophorus gujanensis","Odontophorus gujanensis","Odontophorus gujanensis","LC","SC",0.426966292134831,1,0.38,0.89,"Yes",314.1,13.3,18.8,"Terrestrial","Herbivore","Diurnal",0.368331603905103,-0.532380279742175,6.23068034395233,0.000132910763634686,"Neotropic","French Guiana",-52.831,3.858,41.125,2745,0.071,14.7,9.13706,0,254
"546",55,"AB","Gruiformes","Psophiidae","Psophia crepitans","Psophia crepitans","Psophia crepitans","Psophia crepitans","LC","SC",0.0923076923076923,1,0.18,1.95,"Yes",1026,9.6,26.5,"Terrestrial","Herbivore","Diurnal",1.69293076598617,-0.248824800533721,33.515904216776,0.000210442042421587,"Neotropic","French Guiana",-52.831,3.858,22.17,2745,0.071,14.7,9.13706,0,254
"546",55,"AB","Gruiformes","Psophiidae","Psophia crepitans","Psophia crepitans","Psophia crepitans","Psophia crepitans","LC","SC",0.323076923076923,1,0.63,1.95,"Yes",1026,9.6,26.5,"Terrestrial","Herbivore","Diurnal",1.69293076598617,-0.248824800533721,33.515904216776,0.000210442042421587,"Neotropic","French Guiana",-52.831,3.858,41.125,2745,0.071,14.7,9.13706,0,254
