Species;BirdLife_Species;AvibaseID_BirdLife;eBird_Species;AvibaseID_eBird;BirdTree_Species;IUCN_Species;ID_IUCN;URL_IUCN;IUCN_Status
Abroscopus superciliaris;Abroscopus superciliaris;AVIBASE-A8F5D21F;Abroscopus superciliaris;AVIBASE-A8F5D21F;Abroscopus superciliaris;Abroscopus superciliaris;22731005;https://www.iucnredlist.org/details/22731005/0;LC
Accipiter bicolor;Accipiter bicolor;AVIBASE-ADBE44E1;Accipiter bicolor;AVIBASE-ADBE44E1;Accipiter bicolor;Accipiter bicolor;22695669;https://www.iucnredlist.org/details/22695669/0;LC
Aceros undulatus;Rhyticeros undulatus;AVIBASE-3C98DDBC;Rhyticeros undulatus;AVIBASE-3C98DDBC;Aceros undulatus;Rhyticeros undulatus;22682528;https://www.iucnredlist.org/details/22682528/0;VU
Actenoides concretus;Actenoides concretus;AVIBASE-4A150CE8;Actenoides concretus;AVIBASE-4A150CE8;Actenoides concretus;Actenoides concretus;22683532;https://www.iucnredlist.org/details/22683532/0;NT
Aegithina viridissima;Aegithina viridissima;AVIBASE-418B6BE2;Aegithina viridissima;AVIBASE-418B6BE2;Aegithina viridissima;Aegithina viridissima;22707440;https://www.iucnredlist.org/details/22707440/0;NT
Aethopyga siparaja;Aethopyga siparaja;AVIBASE-EC22F3AA;Aethopyga siparaja;AVIBASE-EC22F3AA;Aethopyga siparaja;Aethopyga siparaja;103804411;https://www.iucnredlist.org/details/103804411/0;LC
Aethopyga temminckii;Aethopyga temminckii;AVIBASE-F89D732E;Aethopyga temminckii;AVIBASE-F89D732E;Aethopyga mystacalis;Aethopyga temminckii;103804369;https://www.iucnredlist.org/details/103804369/0;LC
Agelastes meleagrides;Agelastes meleagrides;AVIBASE-E0EE1B89;Agelastes meleagrides;AVIBASE-E0EE1B89;Agelastes meleagrides;Agelastes meleagrides;22679545;https://www.iucnredlist.org/details/22679545/0;VU
Agelastes niger;Agelastes niger;AVIBASE-38193321;Agelastes niger;AVIBASE-38193321;Agelastes niger;Agelastes niger;22679551;https://www.iucnredlist.org/details/22679551/0;LC
Alcedo meninting;Alcedo meninting;AVIBASE-39629250;Alcedo meninting;AVIBASE-39629250;Alcedo meninting;Alcedo meninting;22683042;https://www.iucnredlist.org/details/22683042/0;LC
Alcippe brunneicauda;Alcippe brunneicauda;AVIBASE-2EAEE9C9;Alcippe brunneicauda;AVIBASE-2EAEE9C9;Alcippe brunneicauda;Alcippe brunneicauda;22716630;https://www.iucnredlist.org/details/22716630/0;NT
Alophoixus ochraceus;Alophoixus ochraceus;AVIBASE-2BC35886;Alophoixus ochraceus;AVIBASE-2BC35886;Alophoixus ochraceus;Alophoixus ochraceus;103821072;https://www.iucnredlist.org/details/103821072/0;LC
Alophoixus phaeocephalus;Alophoixus phaeocephalus;AVIBASE-3499C2A5;Alophoixus phaeocephalus;AVIBASE-3499C2A5;Alophoixus phaeocephalus;Alophoixus phaeocephalus;22713152;https://www.iucnredlist.org/details/22713152/0;LC
Amaurornis isabellina;Amaurornis isabellina;AVIBASE-535DB169;Amaurornis isabellina;AVIBASE-535DB169;Amaurornis isabellina;Amaurornis isabellina;22692624;https://www.iucnredlist.org/details/22692624/0;LC
Amazona albifrons;Amazona albifrons;AVIBASE-DD669F07;Amazona albifrons;AVIBASE-DD669F07;Amazona albifrons;Amazona albifrons;22686222;https://www.iucnredlist.org/details/22686222/0;LC
Amazona autumnalis;Amazona autumnalis;AVIBASE-56EC9CA9;Amazona autumnalis;AVIBASE-F2DFC4C1;Amazona autumnalis;Amazona autumnalis;22728292;https://www.iucnredlist.org/details/22728292/0;LC
Amazona dufresniana;Amazona dufresniana;AVIBASE-7B534E0C;Amazona dufresniana;AVIBASE-7B534E0C;Amazona dufresniana;Amazona dufresniana;22686282;https://www.iucnredlist.org/details/22686282/0;NT
Amazona farinosa;Amazona farinosa;AVIBASE-77721E6B;Amazona farinosa;AVIBASE-A05EF311;Amazona farinosa;Amazona farinosa;45430572;https://www.iucnredlist.org/details/45430572/0;LC
Amazona ochrocephala;Amazona ochrocephala;AVIBASE-45BCA1AA;Amazona ochrocephala;AVIBASE-45BCA1AA;Amazona ochrocephala;Amazona ochrocephala;22686346;https://www.iucnredlist.org/details/22686346/0;LC
Anhinga anhinga;Anhinga anhinga;AVIBASE-FBDAE86A;Anhinga anhinga;AVIBASE-FBDAE86A;Anhinga anhinga;Anhinga anhinga;22696702;https://www.iucnredlist.org/details/22696702/0;LC
Anorrhinus galeritus;Anorrhinus galeritus;AVIBASE-1FD5EBCD;Anorrhinus galeritus;AVIBASE-1FD5EBCD;Anorrhinus galeritus;Anorrhinus galeritus;22682485;https://www.iucnredlist.org/details/22682485/0;NT
Anthipes solitaris;Anthipes solitaris;AVIBASE-EBEB71F0;Anthipes solitaris;AVIBASE-EBEB71F0;Ficedula solitaris;Anthipes solitaris;22709355;https://www.iucnredlist.org/details/22709355/0;LC
Anthracoceros albirostris;Anthracoceros albirostris;AVIBASE-082CFEA6;Anthracoceros albirostris;AVIBASE-082CFEA6;Anthracoceros albirostris;Anthracoceros albirostris;22682437;https://www.iucnredlist.org/details/22682437/0;LC
Anthracoceros malayanus;Anthracoceros malayanus;AVIBASE-6DC62BCF;Anthracoceros malayanus;AVIBASE-6DC62BCF;Anthracoceros malayanus;Anthracoceros malayanus;22682441;https://www.iucnredlist.org/details/22682441/0;VU
Anthreptes malacensis;Anthreptes malacensis;AVIBASE-7F96C52A;Anthreptes malacensis;AVIBASE-7F96C52A;Anthreptes malacensis;Anthreptes malacensis;103792612;https://www.iucnredlist.org/details/103792612/0;LC
Anthreptes simplex;Anthreptes simplex;AVIBASE-2FFB2DBC;Anthreptes simplex;AVIBASE-2FFB2DBC;Anthreptes simplex;Anthreptes simplex;22717611;https://www.iucnredlist.org/details/22717611/0;LC
Ara ambigua;Ara ambiguus;AVIBASE-8C233878;Ara ambiguus;AVIBASE-8C233878;Ara ambiguus;Ara ambiguus;22685553;https://www.iucnredlist.org/details/22685553/0;CR
Ara ambiguus;Ara ambiguus;AVIBASE-8C233878;Ara ambiguus;AVIBASE-8C233878;Ara ambiguus;Ara ambiguus;22685553;https://www.iucnredlist.org/details/22685553/0;CR
Ara chloroptera;Ara chloropterus;AVIBASE-5DBFB188;Ara chloropterus;AVIBASE-5DBFB188;Ara chloropterus;Ara chloropterus;22685566;https://www.iucnredlist.org/details/22685566/0;LC
Ara macao;Ara macao;AVIBASE-5B015EDA;Ara macao;AVIBASE-5B015EDA;Ara macao;Ara macao;22685563;https://www.iucnredlist.org/details/22685563/0;LC
Arachnothera chrysogenys;Arachnothera chrysogenys;AVIBASE-87554DD5;Arachnothera chrysogenys;AVIBASE-87554DD5;Arachnothera chrysogenys;Arachnothera chrysogenys;22718115;https://www.iucnredlist.org/details/22718115/0;LC
Arachnothera flavigaster;Arachnothera flavigaster;AVIBASE-D33E142C;Arachnothera flavigaster;AVIBASE-D33E142C;Arachnothera flavigaster;Arachnothera flavigaster;22718112;https://www.iucnredlist.org/details/22718112/0;LC
Arachnothera hypogrammica;Kurochkinegramma hypogrammica;AVIBASE-7700E7E6;Kurochkinegramma hypogrammicum;AVIBASE-7700E7E6;Hypogramma hypogrammicum;Kurochkinegramma hypogrammica;22717680;https://www.iucnredlist.org/details/22717680/0;LC
Arachnothera longirostra;Arachnothera longirostra;AVIBASE-B4EF3CAD;Arachnothera longirostra;AVIBASE-B4EF3CAD;Arachnothera longirostra;Arachnothera longirostra;103778625;https://www.iucnredlist.org/details/103778625/0;LC
Arachnothera modesta;Arachnothera modesta;AVIBASE-FFC4730E;Arachnothera modesta;AVIBASE-3BC09B12;Arachnothera affinis;Arachnothera modesta;103792501;https://www.iucnredlist.org/details/103792501/0;LC
Arachnothera robusta;Arachnothera robusta;AVIBASE-1C7C664E;Arachnothera robusta;AVIBASE-1C7C664E;Arachnothera robusta;Arachnothera robusta;22718109;https://www.iucnredlist.org/details/22718109/0;LC
Aramides cajanea;Aramides cajaneus;AVIBASE-A52752EF;Aramides cajaneus;AVIBASE-A52752EF;Aramides cajanea;Aramides cajaneus;154837348;https://www.iucnredlist.org/details/154837348/0;LC
Ardea cocoi;Ardea cocoi;AVIBASE-B49AB613;Ardea cocoi;AVIBASE-B49AB613;Ardea cocoi;Ardea cocoi;22697001;https://www.iucnredlist.org/details/22697001/0;LC
Argusianus argus;Argusianus argus;AVIBASE-F9F6A725;Argusianus argus;AVIBASE-F9F6A725;Argusianus argus;Argusianus argus;22725006;https://www.iucnredlist.org/details/22725006/0;VU
Arremon aurantiirostris;Arremon aurantiirostris;AVIBASE-DDB56D82;Arremon aurantiirostris;AVIBASE-DDB56D82;Arremon aurantiirostris;Arremon aurantiirostris;22721367;https://www.iucnredlist.org/details/22721367/0;LC
Arremon brunneinucha;Arremon brunneinucha;AVIBASE-5A24AF5E;Arremon brunneinucha;AVIBASE-5A24AF5E;Arremon brunneinucha;Arremon brunneinucha;22721519;https://www.iucnredlist.org/details/22721519/0;LC
Arremon taciturnus;Arremon taciturnus;AVIBASE-A5A38A04;Arremon taciturnus;AVIBASE-AD73A859;Arremon taciturnus;Arremon taciturnus;103771491;https://www.iucnredlist.org/details/103771491/0;LC
Automolus infuscatus;Automolus infuscatus;AVIBASE-70B85047;Automolus infuscatus;AVIBASE-70B85047;Automolus infuscatus;Automolus infuscatus;22733651;https://www.iucnredlist.org/details/22733651/0;LC
