Study;Reference;Year;Year_FW;Analisis;dataset2;Study_qual;Studyqual2;Group;Species;Nspp;ControlDis;CheckHunts;DistInterv;MeanVar;Sp_agreg;ScoreContr;ScoreHunt;ScoreInter;ScoreMvar;ScoreSp;ScoreDet;sumScore;SumScore2;METHOD;OBSERV;Detectability;Patrol_Con;Type_of_hu;TypeHuntin;Legality;Location;Loc2;Country;Study_site;Longitude;Latitude;Reserve;Access_poi;N_h;N_c;Effort_Hunted;Effort_Unhunted;Hdens;Udens;Hsd;Usd;unit;Controldist;MaxDist;InterDist;MinDist;Biome;TravDist;Reviewer;PopDensUpd;CattleDens;PigDens;ChickDens;GoatDens;SheepDens;stunting2;stuntyear2;Literacy rate;LiteracyYear;Forest_cover;Hloss_Fragm;Frag_size;Frag_distance;Source_sink;Stunting_interpolated;Notes;IUCN_Species;
2;Laurance et al., 2006;2006;;yes;1;M;M;Mammals;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;5;No;Yes;yes;Yes;5;0;1;1;1;0;0;3;3;LineTransect;SIGHTINGS_TRACKS;NO;0;C;C;L;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;2.1500;5.7000;1.5672;2.2037;n 50-m plots with signs/1km transect;1.2;50;50;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;
2;Laurance et al., 2006;2006;;yes;1;M;M;Mammals;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;5;No;Yes;yes;Yes;5;0;1;1;1;0;0;3;3;LineTransect;SIGHTINGS_TRACKS;NO;0;C;C;L;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;4.7500;5.7000;1.3578;2.2037;n 50-m plots with signs/1km transect;1.2;300;300;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;
2;Laurance et al., 2006;2006;;yes;1;M;M;Mammals;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;5;No;Yes;yes;Yes;5;0;1;1;1;0;0;3;3;LineTransect;SIGHTINGS_TRACKS;NO;0;C;C;L;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;5.4500;5.7000;2.3940;2.2037;n 50-m plots with signs/1km transect;1.2;600;600;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;
2;Laurance et al., 2006;2006;;yes;1;M;M;Mammals;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;5;No;Yes;yes;Yes;5;0;1;1;1;0;0;3;3;LineTransect;SIGHTINGS_TRACKS;NO;0;C;C;L;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;5.3500;5.7000;1.4318;2.2037;n 50-m plots with signs/1km transect;1.2;900;900;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;
2;Laurance et al., 2006;2006;;yes;1;M;M;Mammals;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;5;No;Yes;yes;Yes;5;0;1;1;1;0;0;3;3;LineTransect;SIGHTINGS_TRACKS;NO;0;None;C;None;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;5.7000;5.7000;2.2037;2.2037;n 50-m plots with signs/1km transect;1.2;1200;1200;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi;
2;Laurance et al., 2006;2006;;yes;1;MH;M;Mammals;Loxodonta africana;1;No;Yes;yes;Yes;1;0;1;1;1;1;0;4;4;LineTransect;SIGHTINGS_TRACKS;NO;0;C;C;L;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;10.0420;11.6000;2.0701;2.4083;n 50-m plots with signs/1km transect;1.2;50;50;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Loxodonta africana;
2;Laurance et al., 2006;2006;;yes;1;MH;M;Mammals;Loxodonta africana;1;No;Yes;yes;Yes;1;0;1;1;1;1;0;4;4;LineTransect;SIGHTINGS_TRACKS;NO;0;C;C;L;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;10.4500;11.6000;2.8362;2.4083;n 50-m plots with signs/1km transect;1.2;300;300;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Loxodonta africana;
2;Laurance et al., 2006;2006;;yes;1;MH;M;Mammals;Loxodonta africana;1;No;Yes;yes;Yes;1;0;1;1;1;1;0;4;4;LineTransect;SIGHTINGS_TRACKS;NO;0;C;C;L;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;12.7500;11.6000;2.2430;2.4083;n 50-m plots with signs/1km transect;1.2;600;600;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Loxodonta africana;
2;Laurance et al., 2006;2006;;yes;1;MH;M;Mammals;Loxodonta africana;1;No;Yes;yes;Yes;1;0;1;1;1;1;0;4;4;LineTransect;SIGHTINGS_TRACKS;NO;0;C;C;L;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;13.3000;11.6000;3.1295;2.4083;n 50-m plots with signs/1km transect;1.2;900;900;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Loxodonta africana;
2;Laurance et al., 2006;2006;;yes;1;MH;M;Mammals;Loxodonta africana;1;No;Yes;yes;Yes;1;0;1;1;1;1;0;4;4;LineTransect;SIGHTINGS_TRACKS;NO;0;None;C;None;Africa;Africa;Gabon;;9.839;-1.916;No;Road;6;6;;;11.6000;11.6000;2.4083;2.4083;n 50-m plots with signs/1km transect;1.2;1200;1200;0;Tropical forest;895.0;AB;0.860;0.000;0.203;7.165;0.001;0.004;22.00;2000;81.8;2004;;None;None;None;None;;;Loxodonta africana;
