Variable;Description;Variable Types;Units;Source
Sequence;"Unique sequence identifier used by BirdLife international. Ordering the ""BirdLife taxonomy"" dataset this way will convert from alphabetical to the sequence used by BirdLife International";ID;;HBW-BirdLife Version 5.0 (December 2020)
Species1;Species taxonomy according to BirdLife international;categorical;;"HBW-BirdLife Version 5.0 (December 2020). Handbook of the Birds of the World and BirdLife International (2020). Handbook of the Birds of the World and BirdLife International digital checklist of the birds of the world. Version 5. Available at: http://datazone.birdlife.org/userfiles/file/Species/Taxonomy/HBW-BirdLife_Checklist_v5_Dec20.zip    
Current BirdLife taxonomy including detailed taxonomic notes is available at http://datazone.birdlife.org/species/taxonomy"
Family1;Family-level taxonomy according to BirdLife international ;categorical;;"HBW-BirdLife Version 5.0 (December 2020). Handbook of the Birds of the World and BirdLife International (2020). Handbook of the Birds of the World and BirdLife International digital checklist of the birds of the world. Version 5. Available at: http://datazone.birdlife.org/userfiles/file/Species/Taxonomy/HBW-BirdLife_Checklist_v5_Dec20.zip    
Current BirdLife taxonomy including detailed taxonomic notes is available at http://datazone.birdlife.org/species/taxonomy"
Order1;Order-level taxonomy according to BirdLife international ;categorical;;"HBW-BirdLife Version 5.0 (December 2020). Handbook of the Birds of the World and BirdLife International (2020). Handbook of the Birds of the World and BirdLife International digital checklist of the birds of the world. Version 5. Available at: http://datazone.birdlife.org/userfiles/file/Species/Taxonomy/HBW-BirdLife_Checklist_v5_Dec20.zip    
Current BirdLife taxonomy including detailed taxonomic notes is available at http://datazone.birdlife.org/species/taxonomy"
Species2;Species taxonomy according to eBird (following latest updates in the Clements checklist);categorical;;"eBird/Clements v2021 (Aug 2021). Clements, J.F., Schulenberg, T.S., Iliff, M.J., Billerman, S.M., Fredericks, T.A., Gerbracht, J.A., Lepage, D., Sullivan, B.L. & Wood, C.L. (2021). The eBird/Clements checklist of birds of the world: v2021. Available atÿhttps://www.birds.cornell.edu/clementschecklist/download/ Current 
eBird/Clements taxonomy including detailed taxonomic notes are available atÿhttps://www.birds.cornell.edu/clementschecklist/overview-august-2021/ÿandÿ https://support.ebird.org/en/support/solutions/articles/48000837816-the-ebird-taxonomy"
Family2;Family-level taxonomy according to eBird (following latest updates in the Clements checklist);categorical;;"eBird/Clements v2021 (Aug 2021). Clements, J.F., Schulenberg, T.S., Iliff, M.J., Billerman, S.M., Fredericks, T.A., Gerbracht, J.A., Lepage, D., Sullivan, B.L. & Wood, C.L. (2021). The eBird/Clements checklist of birds of the world: v2021. Available atÿhttps://www.birds.cornell.edu/clementschecklist/download/ Current 
eBird/Clements taxonomy including detailed taxonomic notes are available atÿhttps://www.birds.cornell.edu/clementschecklist/overview-august-2021/ÿandÿ https://support.ebird.org/en/support/solutions/articles/48000837816-the-ebird-taxonomy"
Order2;Order-level taxonomy according to eBird (following latest updates in the Clements checklist) ;categorical;;"eBird/Clements v2021 (Aug 2021). Clements, J.F., Schulenberg, T.S., Iliff, M.J., Billerman, S.M., Fredericks, T.A., Gerbracht, J.A., Lepage, D., Sullivan, B.L. & Wood, C.L. (2021). The eBird/Clements checklist of birds of the world: v2021. Available atÿhttps://www.birds.cornell.edu/clementschecklist/download/ Current 
eBird/Clements taxonomy including detailed taxonomic notes are available atÿhttps://www.birds.cornell.edu/clementschecklist/overview-august-2021/ÿandÿ https://support.ebird.org/en/support/solutions/articles/48000837816-the-ebird-taxonomy"
Species3;Species taxonomy and nomenclature according to BirdTree, the most recent global bird phylogeny;categorical;;Jetz et al. 2012 Nature (www.birdtree.org) 
Family3;Family-level taxonomy and nomenclature according to BirdTree, the most recent global bird phylogeny;categorical;;Jetz et al. 2012 Nature (www.birdtree.org) 
Order3;Order-level taxonomy according to BirdTree, the most recent global bird phylogeny ;categorical;;Jetz et al. 2012 Nature (www.birdtree.org) 
Total.individuals;Number of individual specimens and live birds measured for each species;discrete;;
Female;Number of measured individuals identified as female;discrete;;
Male;Number of measured individuals identified as male;discrete;;
Unknown;Number of unsexed individuals measured;discrete;;
Complete.measures;Number of measured individuals with complete set of morphometric trait measurements ;discrete;;
Beak.Length_Culmen;Length from the tip of the beak to the base of the skull;continuous;mm;
Beak.Length_Nares;Length from the anterior edge of the nostrils to the tip of the beak;continuous;mm;
Beak.Width;Width of the beak at the anterior edge of the nostrils;continuous;mm;
Beak.Depth;Depth of the beak at the anterior edge of the nostrils;continuous;mm;
Tarsus.Length;Length of the tarsus from the posterior notch between tibia and tarsus, to the end of the last scale of acrotarsium (at the bend of the foot);continuous;mm;
Wing.Length;Length from the carpal joint (bend of the wing) to the tip of the longest primary on the unflattened wing;continuous;mm;
Kipps.Distance;Length from the tip of the first secondary feather to the tip of the longest primary      ;continuous;mm;
Secondary1;Length from the carpal joint (bend of the wing) to the tip of the first secondary, i.e. the outermost secondary adjacent to the innermost primary feather. Secondary1 is roughly equivalent to Wing length minus Kipp?s distance (measured in a fully folded and flat wing);continuous;mm;
Hand-Wing.Index;100*DK/Lw, where DK is Kipp?s distance and Lw is wing length (i.e., Kipp?s distance corrected for wing size). Species average HWI differ from estimates in Sheard et al. (2020) because of much higher sampling of individuals in some species, as well as taxonomic effects in the BirdLife list;continuous;;
Tail.Length;Distance between the tip of the longest rectrix and the point at which the two central rectrices protrude from the skin, typically measured using a ruler inserted between the two central rectrices;continuous;mm;
Mass;Body mass given as species average (incorporating both male and female body mass);continuous;gram;See Mass Source column
Mass.Source;"Dunning (= Dunning, JB [2008] CRC Handbook of Avian Body Masses);
EltonTraits_Other (= mass published by Wilman et al. 2014 EltonTraits 1.0. Ecology, on basis of literature other than Dunning, usually Handbook of the Birds of the World [now Birds of the World, Cornell])
EltonTraits_GenAvg (= average of the genus, published in Wilman et al. 2014 EltonTraits 1.0. Ecology); 
EltonTraits_Model (= inferred from mass and length data, with mass-length relationships parameterized at family level, published in Wilman et al. 2014 EltonTraits 1.0. Ecology);
Updated_literature (= any previous data that was calculated indirectly by Wilman et al. 2014 [Genavg or Modelled] or missing due to taxonomic gaps in BirdLife/eBird was replaced with new data where available from literature and online resources, including Birds of the World - specific sources are listed in the Mass.Ref.Source column);  
Updated_live.sample (= any previous data that was calculated indirectly by Wilman et al. 2014 [Genavg or Modelled] or missing due to taxonomic gaps in BirdLife/eBird was replaced with new data where available from museum labels and/or field data of from wild birds weighed using a Pezola balance before release. Specific sources are listed in the Mass.Ref.Source column);  
Inferred (= where EltonTraits GenAvg or Modelled data seemed misleading, and no published data were available for updating, we replaced it where possible with data inferred directly from a morphologically similar relative. Reference species and Traits inferred columns indicate where mass has been inferred and from which species);
DataFromSplit (= daughter species body mass inferred from parent species after split; the parent or nominate form is typically morphologically similar and provides a reasonable estimate of body mass, particularly as mass data used to calculate the parent species body mass in earlier publications sometimes includes data from the recently split daughter species).
";categorical;;
