Class;Order;Family;Species;Trade type;Source
Amphibian;Anura;Aromobatidae;Allobates femoralis;Pet, Prod;CITES
Amphibian;Anura;Aromobatidae;Allobates myersi;NA;CITES
Amphibian;Anura;Aromobatidae;Allobates zaparo;Pet;CITES
Amphibian;Anura;Aromobatidae;Anomaloglossus rufulus;NA;CITES
Amphibian;Anura;Arthroleptidae;Leptopelis argenteus;Pet;IUCN
Amphibian;Anura;Arthroleptidae;Leptopelis bocagii;Pet;IUCN
Amphibian;Anura;Arthroleptidae;Leptopelis notatus;Prod;IUCN
Amphibian;Anura;Arthroleptidae;Leptopelis vermiculatus;Pet;IUCN
Amphibian;Anura;Arthroleptidae;Trichobatrachus robustus;Pet;IUCN
Amphibian;Anura;Bombinatoridae;Barbourula busuangensis;Prod;IUCN
Amphibian;Anura;Bombinatoridae;Barbourula kalimantanensis;Prod;IUCN
Amphibian;Anura;Bombinatoridae;Bombina bombina;Pet;IUCN
Amphibian;Anura;Bombinatoridae;Bombina orientalis;Pet, Prod;IUCN
Amphibian;Anura;Bombinatoridae;Bombina variegata;Pet, Prod;IUCN
Amphibian;Anura;Bufonidae;Altiphrynoides malcolmi;NA;CITES
Amphibian;Anura;Bufonidae;Altiphrynoides osgoodi;NA;CITES
Amphibian;Anura;Bufonidae;Anaxyrus boreas;Pet;IUCN
Amphibian;Anura;Bufonidae;Anaxyrus cognatus;Pet;IUCN
Amphibian;Anura;Bufonidae;Anaxyrus retiformis;Pet;CITES, IUCN
Amphibian;Anura;Bufonidae;Atelopus carbonerensis;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus cruciger;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus flavescens;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus franciscus;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus glyphus;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus peruensis;Pet, Prod;IUCN
Amphibian;Anura;Bufonidae;Atelopus pulcher;Pet, Prod;IUCN
Amphibian;Anura;Bufonidae;Atelopus senex;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus siranus;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus spumarius;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus spurrelli;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus varius;Pet;IUCN
Amphibian;Anura;Bufonidae;Atelopus zeteki;Pet;CITES, IUCN
Amphibian;Anura;Bufonidae;Barbarophryne brongersmai;Pet;IUCN
Amphibian;Anura;Bufonidae;Bufo andrewsi;Prod;IUCN
Amphibian;Anura;Bufonidae;Bufo bankorensis;Prod;IUCN
Amphibian;Anura;Bufonidae;Bufo bufo;Pet, Prod;IUCN
Amphibian;Anura;Bufonidae;Bufo gargarizans;Prod;IUCN
Amphibian;Anura;Bufonidae;Bufo kabischi;Prod;IUCN
Amphibian;Anura;Bufonidae;Bufo minshanicus;Prod;IUCN
Amphibian;Anura;Bufonidae;Bufo tibetanus;Prod;IUCN
Amphibian;Anura;Bufonidae;Bufo wolongensis;Prod;IUCN
Amphibian;Anura;Bufonidae;Bufotes viridis;Pet;IUCN
Amphibian;Anura;Bufonidae;Duttaphrynus melanostictus;Pet, Prod;IUCN
Amphibian;Anura;Bufonidae;Ingerophrynus celebensis;Prod;IUCN
Amphibian;Anura;Bufonidae;Leptophryne cruentata;Pet;IUCN
Amphibian;Anura;Bufonidae;Melanophryniscus admirabilis;Pet;IUCN
Amphibian;Anura;Bufonidae;Melanophryniscus atroluteus;Pet;IUCN
Amphibian;Anura;Bufonidae;Melanophryniscus cambaraensis;Pet;IUCN
Amphibian;Anura;Bufonidae;Melanophryniscus fulvoguttatus;Pet;IUCN
Amphibian;Anura;Bufonidae;Melanophryniscus klappenbachi;Pet;IUCN
Amphibian;Anura;Bufonidae;Melanophryniscus stelzneri;Pet;IUCN
Amphibian;Anura;Bufonidae;Melanophryniscus tumifrons;Pet;IUCN
Amphibian;Anura;Bufonidae;Nannophryne cophotis;Pet;IUCN
Amphibian;Anura;Bufonidae;Nectophrynoides cryptus;NA;CITES
Amphibian;Anura;Bufonidae;Nectophrynoides frontierei;NA;CITES
Amphibian;Anura;Bufonidae;Nectophrynoides laevis;NA;CITES
Amphibian;Anura;Bufonidae;Nectophrynoides laticeps;NA;CITES
Amphibian;Anura;Bufonidae;Nectophrynoides minutus;NA;CITES
Amphibian;Anura;Bufonidae;Nectophrynoides paulae;NA;CITES
Amphibian;Anura;Bufonidae;Nectophrynoides poyntoni;NA;CITES
